[2026-05-09 18:41:12.512] [Hash Trace] Tick: 1020
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 14667820028033562617
P1.IsFromRoll                  | Val: 0                    | AccumHash: 3474437935620250651
P1.SideStepDirection           | Val: 0                    | AccumHash: 13256989736920646113
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 14253188392692068691
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 4458754988235051017
P1.CurrentHealth               | Val: 100                  | AccumHash: 7284616006075984183
P1.HitstopCounter              | Val: 0                    | AccumHash: 1203758479944681589
--- P2 ---
P2.Position.X                  | Val: 203662               | AccumHash: 15526438419379483521
P2.Position.Y                  | Val: 0                    | AccumHash: 4182217574573491251
P2.Position.Z                  | Val: 10374                | AccumHash: 8704077857547335567
P2.Velocity.X                  | Val: 0                    | AccumHash: 13029623387895425021
P2.Velocity.Y                  | Val: 0                    | AccumHash: 16330257047807996647
P2.Velocity.Z                  | Val: 0                    | AccumHash: 9317780122343079557
P2.DepthAxis.X                 | Val: 18446744073709532765 | AccumHash: 15121881057995409160
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 2206337034214879896
P2.DepthAxis.Z                 | Val: 62786                | AccumHash: 3572561417038468974
P2.CurrentDirection.X          | Val: 67123                | AccumHash: 1732355381865775367
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 12858842370290171621
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 2161009751849426719
P2.LookDirection.X             | Val: 18446744073709488830 | AccumHash: 16657507584462225555
P2.LookDirection.Y             | Val: 0                    | AccumHash: 985168325813074377
P2.LookDirection.Z             | Val: 18446744073709532765 | AccumHash: 13187228974700116092
P2.IsGrounded                  | Val: 1                    | AccumHash: 13141982381697596519
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 7998435733404574469
P2.CachedCurrentState          | Val: 1                    | AccumHash: 18168971230919245772
P2.StateFrameCounter           | Val: 84                   | AccumHash: 12601348796740702024
P2.CurrentActionID             | Val: 0                    | AccumHash: 12599784378057717592
P2.IsCommandActionTriggered    | Val: 0                    | AccumHash: 14146309858880244360
P2.HurtInfo.Damage             | Val: 0                    | AccumHash: 13890380902057583896
P2.HurtInfo.StunFrames         | Val: 5                    | AccumHash: 10456999534114902087
P2.ScheduledWakeUpType         | Val: 0                    | AccumHash: 17241405147723311269
P2.IsFromRoll                  | Val: 0                    | AccumHash: 3979258303541121119
P2.SideStepDirection           | Val: 0                    | AccumHash: 17128124698522702189
P2.CurrentStunFrames           | Val: 81                   | AccumHash: 17439823536616638708
P2.IsGroundBouncing            | Val: 0                    | AccumHash: 14513777003421185692
P2.CurrentHealth               | Val: 75                   | AccumHash: 7532205490770685781
